Full Market Value,Land Assessed Value,MostRecentSalePrice,MostRecentSaleDate,PropertyType,BuildingStyle,YearBuilt,RoomCounts,nbhd,LotSize(acr)
"$137,000","$20,000",72500,1/12/2016,2 Family Res,Duplex,1960,4 / 2,Res Old #2,0.2
"$134,000","$13,100",75000,1/12/2012,1 Family Res,Ranch,1950,2 / 1,Vill/Norwood,0.29
"$107,000","$18,000",65000,1/12/2009,2 Family Res,Old style,1890,4 / 2.1,Vill/Norwood,0.45
"$372,000","$46,500",280000,1/12/2007,Rural res,Colonial,1999,4 / 2.1,Rural,19
"$219,000","$28,500",117500,1/11/2013,1 Family Res,Raised ranch,1965,3 / 1.2,Res New,0.3
"$205,000","$21,700",115000,1/11/2012,1 Family Res,Ranch,1958,2 / 3,Rural,0.51
"$30,000","$22,800",10000,1/10/2025,1 Family Res,Old style,1910,2 / 1,Res Old #1,0.44
"$205,000","$28,800",177500,1/10/2023,1 Family Res,Old style,1840,3 / 2,Res Old #2,0.27
"$16,500","$16,500",42000,1/10/2022,Rural vac<10,,,,Rural,2.5
"$6,400","$6,400",3500,1/10/2020,Res vac land,,,,Res Old #1,0.21
"$825,000","$160,400",35000,1/10/2020,1 use sm bld,Commercial,1980,,Commercial,1.62
"$18,900","$18,900",16000,1/10/2019,Res vac land,,,,Rural,4.9
"$107,000","$29,300",44200,1/10/2005,1 Family Res,Ranch,1970,0 / 1,Rural,0.95
"$104,000","$12,700",,,1 Family Res,Ranch,1959,2 / 1,Vill/Norwood,0.28
"$97,000","$26,300",,,1 Family Res,Old style,1920,3 / 1.1,Vill/Norwood,0.77
"$138,000","$21,500",,,1 Family Res,Old style,1890,4 / 1.1,Vill/Norwood,0.58
"$96,000","$10,300",,,1 Family Res,Old style,1900,2 / 1,Vill/Norwood,0.22
"$142,000","$32,500",,,1 Family Res,Old style,1895,2 / 2,Vill/Norwood,1.31
"$22,000","$7,900",,,1 Family Res,Old style,1867,8 / 1,Vill/Norwood,0.16
"$147,000","$19,200",,,1 Family Res,Old style,1890,3 / 1.1,Vill/Norwood,0.49
"$58,000","$15,900",,,1 Family Res,Old style,1900,3 / 1.1,Vill/Norwood,0.38
$500,$500,,,Res vac land,,,,Vill/Norwood,0.06
"$154,000","$32,800",,,1 Family Res,Cape cod,1955,2 / 2,Vill/Norwood,1.5
"$160,000","$81,500",,,1 use sm bld,Commercial,1950,,Commercial,24.36
"$137,000","$26,000",,,1 Family Res,Old style,1920,3 / 1.1,Vill/Norwood,0.76
"$84,000","$9,100",,,1 Family Res,Old style,1905,3 / 2,Vill/Norwood,0.19
"$63,000","$11,500",,,1 Family Res,Old style,1920,3 / 1,Vill/Norwood,0.25
"$80,000","$14,100",,,2 Family Res,Old style,1907,2 / 2,Vill/Norwood,0.32
"$139,000","$19,500",,,1 Family Res,Old style,1900,4 / 1.1,Vill/Norwood,0.5
"$185,000","$52,900",,,Converted Res,Commercial,1950,,Commercial,1.29
"$89,000","$13,800",,,2 Family Res,Old style,1910,4 / 2,Vill/Norwood,0.31
"$120,000","$15,600",,,1 Family Res,Old style,1900,4 / 2,Vill/Norwood,0.37
"$111,000","$12,700",,,1 Family Res,Old style,1911,2 / 1.1,Vill/Norwood,0.28
"$105,000","$14,100",,,1 Family Res,Old style,1920,3 / 1.1,Vill/Norwood,0.32
"$2,200,000",$0,,,Apartment,Commercial,1984,,Commercial,0
"$56,400","$56,400",,,Vacant comm,,,,Commercial,1.64
"$139,000","$12,700",,,1 Family Res,Old style,1900,3 / 1.1,Vill/Norwood,0.28
"$79,000","$13,800",,,1 Family Res,Old style,1900,4 / 1,Vill/Norwood,0.31
"$160,000","$29,100",,,Highway gar,Commercial,1960,,Commercial,0.39
"$83,000","$13,100",,,1 Family Res,Old style,1900,2 / 1.1,Vill/Norwood,0.29
"$152,000","$17,100",,,1 Family Res,Old style,1886,5 / 2.1,Vill/Norwood,0.42
"$59,000","$7,900",,,1 Family Res,Old style,1900,1 / 1,Vill/Norwood,0.16
"$37,000","$10,700",,,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,0.23
"$15,000","$13,800",,,1 Family Res,Old style,1893,4 / 1.1,Vill/Norwood,83
"$51,000","$9,100",,,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,0.19
"$178,000","$15,000",,,1 Family Res,Old style,1880,3 / 1.1,Vill/Norwood,0.35
"$115,000","$8,000",,,Police/fire,Commercial,1986,,Commercial,0.04
"$170,000","$56,900",,,Police/fire,Commercial,1960,,Commercial,1.69
"$7,200","$7,200",,,Res vac land,,,,Vill/Norwood,0.13
"$15,000","$11,000",,,Parking lot,,,,Commercial,0.07
"$104,000","$13,800",,,1 Family Res,Old style,1928,3 / 1.1,Vill/Norwood,0.31
"$100,000","$10,700",,,1 Family Res,Old style,1820,3 / 1.1,Vill/Norwood,0.23
"$105,000","$8,300",,,1 Family Res,Old style,1900,2 / 1,Vill/Norwood,0.17
"$139,000","$10,300",,,1 Family Res,Old style,1877,3 / 2,Vill/Norwood,0.22
"$114,000","$11,900",,,1 Family Res,Old style,1900,4 / 1,Vill/Norwood,0.26
"$2,700","$2,700",,,Res vac land,,,,Vill/Norwood,0.08
"$99,000","$27,500",,,1 Family Res,Old style,1870,3 / 1,Vill/Norwood,0.82
"$300,000","$75,200",,,1 Family Res,Ranch,1960,3 / 1.2,Water/Nor Lake,1.1
"$225,300","$91,000",,,1 Family Res,Ranch,1987,2 / 1,Water/Nor Lake,0.52
"$338,200","$102,300",,,1 Family Res,Contemporary,1987,3 / 2.1,Water/Nor Lake,1.06
"$35,200","$20,200",,,Vac w/imprv,,,,Vill/Norwood,1.1
"$18,500","$18,500",,,Res vac land,,,,Vill/Norwood,0.85
"$12,700","$12,700",,,Res vac land,,,,Vill/Norwood,0.34
"$135,000","$31,800",,,1 Family Res,Ranch,1958,3 / 2,Vill/Norwood,0.99
"$145,000","$20,800",,,1 Family Res,Ranch,1958,3 / 1.1,Vill/Norwood,0.55
"$159,000","$18,600",,,1 Family Res,Ranch,1951,3 / 1.1,Vill/Norwood,0.47
"$130,000","$15,900",,,1 Family Res,Ranch,1958,3 / 1.1,Vill/Norwood,0.38
"$128,000","$19,200",,,1 Family Res,Split level,1954,3 / 1,Vill/Norwood,0.49
"$129,000","$26,800",,,1 Family Res,Ranch,1951,3 / 1,Vill/Norwood,0.79
"$14,400","$14,400",,,Res vac land,,,,Vill/Norwood,0.46
"$147,000","$26,800",,,1 Family Res,Old style,1929,3 / 2,Vill/Norwood,0.79
"$112,000","$14,100",,,1 Family Res,Old style,1930,3 / 2,Vill/Norwood,0.32
"$126,600","$13,500",,,1 Family Res,Old style,1900,5 / 2,Vill/Norwood,0.3
"$124,000","$12,700",,,1 Family Res,Old style,1900,3 / 1.1,Vill/Norwood,0.28
"$137,000","$12,700",,,2 Family Res,Old style,1900,3 / 2,Vill/Norwood,0.28
"$161,000","$21,000",,,1 Family Res,Old style,1910,4 / 2,Vill/Norwood,0.56
"$125,000","$7,900",,,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,0.16
"$87,000","$8,300",,,1 Family Res,Old style,1920,3 / 1,Vill/Norwood,0.17
"$112,000","$18,000",,,1 Family Res,Old style,1900,4 / 1,Vill/Norwood,0.45
"$8,600","$8,600",,,Res vac land,,,,Vill/Norwood,0.17
"$124,000","$18,000",,,1 Family Res,Ranch,2013,3 / 1,Vill/Norwood,0.45
"$160,000","$13,100",,,1 Family Res,Old style,1910,3 / 1.1,Vill/Norwood,0.29
"$135,000","$15,900",,,1 Family Res,Old style,1900,4 / 2,Vill/Norwood,0.38
"$164,000","$13,500",,,1 Family Res,Ranch,1989,2 / 2,Vill/Norwood,0.3
"$38,800","$38,800",,,Res vac land,,,,Water/Nor Lake,0.24
"$161,000","$30,800",,,1 Family Res,Ranch,1986,4 / 2,Vill/Norwood,0.95
"$327,000","$32,100",,,1 Family Res,Raised ranch,1989,3 / 2,Vill/Norwood,1.09
"$915,942","$114,300",,,Ceiling rr,,,,Commercial,9.85
"$166,000","$22,000",,,1 Family Res,Old style,1890,4 / 1.1,Vill/Norwood,0.6
"$80,000","$17,100",,,1 Family Res,Old style,1900,4 / 1.1,Vill/Norwood,0.42
"$109,000","$17,700",,,1 Family Res,Old style,1930,3 / 1.1,Vill/Norwood,0.44
"$128,000","$17,700",,,1 Family Res,Old style,1900,3 / 1.1,Vill/Norwood,0.44
"$103,000","$15,900",,,1 Family Res,Old style,1920,4 / 2,Vill/Norwood,0.38
"$150,000","$29,000",,,1 Family Res,Old style,1920,5 / 1.1,Vill/Norwood,0.88
"$139,000","$17,700",,,1 Family Res,Old style,1920,3 / 1,Vill/Norwood,0.44
"$109,000","$17,700",,,1 Family Res,Old style,1920,6 / 1,Vill/Norwood,0.44
"$56,000","$6,300",,,1 Family Res,Old style,1887,3 / 1,Vill/Norwood,0.12
"$84,000","$6,700",,,1 Family Res,Old style,1929,2 / 2,Vill/Norwood,0.13
"$255,000","$60,700",,,Religious,Commercial,1970,,Commercial,2.36
"$190,000","$32,900",,,1 Family Res,Raised ranch,1969,3 / 2,Vill/Norwood,1.6
"$93,000","$20,500",,,1 Family Res,Old style,1924,3 / 1,Vill/Norwood,0.54
"$184,000","$32,800",,,1 Family Res,Ranch,1997,3 / 2,Vill/Norwood,1.5
"$130,000","$13,100",,,1 Family Res,Ranch,1956,3 / 1,Vill/Norwood,0.29
"$84,000","$17,700",,,1 Family Res,Old style,1940,2 / 1,Vill/Norwood,0.44
"$108,000","$13,500",,,1 Family Res,Bungalow,1951,1 / 1,Vill/Norwood,0.3
"$152,000","$16,500",,,1 Family Res,Ranch,1951,1 / 1,Vill/Norwood,0.4
"$151,000","$18,300",,,1 Family Res,Ranch,1951,2 / 1,Vill/Norwood,0.46
"$114,000","$13,800",,,1 Family Res,Ranch,1951,3 / 1,Vill/Norwood,0.31
"$99,000","$11,500",,,1 Family Res,Old style,1948,3 / 2,Vill/Norwood,0.25
"$14,700","$14,700",,,Res vac land,,,,Vill/Norwood,0.34
"$117,000","$15,600",,,1 Family Res,Cape cod,1951,3 / 1.1,Vill/Norwood,0.37
"$110,000","$20,300",,,1 Family Res,Old style,1900,3 / 2,Vill/Norwood,0.53
"$83,000","$24,800",,,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,0.71
"$60,000","$18,000",,,1 Family Res,Old style,1900,4 / 2,Vill/Norwood,0.45
"$122,000","$18,000",,,1 Family Res,Old style,1900,2 / 1,Vill/Norwood,0.45
"$134,000","$18,000",,,1 Family Res,Old style,1900,4 / 1.1,Vill/Norwood,0.45
"$163,000","$23,500",,,1 Family Res,Old style,1900,4 / 2,Vill/Norwood,0.66
"$195,000","$28,800",,,1 Family Res,Cape cod,1992,3 / 2.1,Vill/Norwood,0.87
"$105,000","$15,900",,,1 Family Res,Old style,1947,3 / 1.1,Vill/Norwood,0.38
"$149,000","$32,200",,,1 Family Res,Old style,1900,3 / 1.1,Vill/Norwood,1.1
"$124,000","$32,100",,,1 Family Res,Old style,1900,4 / 1,Vill/Norwood,1.06
"$175,000","$33,200",,,3 Family Res,Old style,1900,5 / 3,Vill/Norwood,1.8
"$124,000","$33,200",,,1 Family Res,Old style,1891,3 / 1.1,Vill/Norwood,1.8
"$116,000","$16,200",,,2 Family Res,Old style,1880,7 / 2.2,Vill/Norwood,0.39
"$104,000","$17,400",,,1 Family Res,Old style,1900,2 / 1,Vill/Norwood,0.43
"$176,000","$13,800",,,1 Family Res,Ranch,1955,3 / 2,Vill/Norwood,0.31
"$25,100","$25,100",,,Res vac land,,,,Vill/Norwood,5.6
"$143,000","$34,100",,,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,2.6
"$114,000","$13,100",,,1 Family Res,Ranch,1955,3 / 1,Vill/Norwood,0.29
"$119,000","$21,800",,,1 Family Res,Old style,1919,3 / 1,Vill/Norwood,0.59
"$179,000","$33,500",,,1 Family Res,Old style,1917,3 / 1.1,Vill/Norwood,2
"$99,400","$99,400",,,Athletic fld,,,,Commercial,8.4
"$395,000",$0,,,Religious,Commercial,1958,,Commercial,0
"$121,000","$11,100",,,1 Family Res,Old style,1918,3 / 1.1,Vill/Norwood,0.24
"$134,000","$20,000",,,1 Family Res,Ranch,1952,2 / 1.1,Vill/Norwood,0.52
"$134,000","$12,700",,,1 Family Res,Split level,1966,3 / 1.1,Vill/Norwood,0.28
"$20,200","$20,200",,,Res vac land,,,,Vill/Norwood,1.1
"$370,000","$52,400",,,Water supply,,,,Commercial,2.08
"$270,000","$33,900",,,1 Family Res,Ranch,2000,4 / 2,Vill/Norwood,2.4
"$91,000","$26,500",,,1 Family Res,Old style,1860,1 / 1,Vill/Norwood,0.78
"$110,000","$21,500",,,1 Family Res,Old style,1870,3 / 1,Vill/Norwood,0.58
"$171,000","$33,100",,,1 Family Res,Old style,1870,2 / 2,Vill/Norwood,1.7
"$108,000","$13,800",,,1 Family Res,Old style,1900,2 / 2,Vill/Norwood,0.31
"$119,000","$33,500",,,1 Family Res,Old style,1870,4 / 1,Vill/Norwood,2
"$230,000","$33,800",,,1 Family Res,Ranch,2010,3 / 2.1,Vill/Norwood,2.3
"$90,000","$28,300",,,1 Family Res,Cottage,2022,1 / 1,Vill/Norwood,0.85
"$80,000","$9,500",,,2 Family Res,Old style,1920,2 / 2,Vill/Norwood,0.2
"$21,100","$21,100",,,Res vac land,,,,Vill/Norwood,1.7
"$21,400","$21,400",,,Res vac land,,,,Vill/Norwood,1.9
"$5,400","$5,400",,,Res vac land,,,,Vill/Norwood,0.23
"$45,000","$31,800",,,Cemetery,,,,Commercial,11.88
"$24,200","$24,200",,,Res vac land,,,,Vill/Norwood,4.7
"$134,000","$23,800",,,1 Family Res,Ranch,1983,3 / 1.1,Vill/Norwood,0.67
"$84,600","$84,600",,,Res vac land,,,,Vill/Norwood,119.2
"$280,000","$43,200",,,Rural res,Colonial,2001,3 / 2,Vill/Norwood,12.3
"$216,000","$23,500",,,1 Family Res,Split level,1985,3 / 2,Vill/Norwood,0.66
"$900,000","$48,300",,,Rural res,Contemporary,1994,4 / 4,Vill/Norwood,20.7
"$22,400","$22,400",,,Res vac land,,,,Vill/Norwood,2.9
"$122,000","$10,700",,,1 Family Res,Old style,1918,2 / 1.1,Vill/Norwood,0.23
"$107,800","$15,600",,,1 Family Res,Old style,1903,4 / 1,Vill/Norwood,0.37
"$34,000","$9,100",,,1 Family Res,Old style,1889,3 / 1,Vill/Norwood,0.19
"$95,000","$9,900",,,1 Family Res,Ranch,2004,2 / 1,Vill/Norwood,0.21
"$47,200","$47,200",,,Non-ceil. rr,,,,Commercial,3.35
"$39,600","$39,600",,,Non-ceil. rr,,,,Commercial,16.1
"$15,000",$0,,,Billboard,,,,Commercial,0
"$64,800","$64,800",,,Vacant comm,,,,Commercial,4.42
"$20,300","$20,300",,,Res vac land,,,,Vill/Norwood,1.2
"$42,000","$16,500",,,Vac w/imprv,,,,Vill/Norwood,0.65
"$6,900","$6,900",,,Rural vac<10,,,,Vill/Norwood,1.6
"$11,000","$11,000",,,Vacant comm,,,,Commercial,0.07
"$35,000","$23,000",,,Auto body,Commercial,1920,,Commercial,0.25
"$104,100","$104,100",,,Vac farmland,,,,Vill/Norwood,85.81
"$14,600","$14,600",,,Vacant comm,,,,Commercial,0.11
"$125,000","$8,000",,,1 use sm bld,Commercial,1884,,Commercial,0.04
"$200,000","$21,200",,,Att row bldg,Commercial,1930,,Commercial,0.22
"$25,000","$20,000",,,Parking lot,,,,Commercial,0.2
"$85,000","$31,900",,,Det row bldg,Commercial,1900,,Commercial,0.46
"$11,500","$11,500",,,Res vac land,,,,Vill/Norwood,0.26
"$99,000","$15,300",,,1 Family Res,Old style,1866,4 / 1,Vill/Norwood,0.36
"$390,000","$34,500",,,Religious,Commercial,1900,,Commercial,0.53
"$310,000","$50,300",,,Govt bldgs,Commercial,2001,,Commercial,1.03
"$93,000","$10,300",,,2 Family Res,Old style,1900,4 / 2,Vill/Norwood,0.22
"$139,000","$19,500",,,1 Family Res,Old style,1875,5 / 2,Vill/Norwood,0.5
"$170,000","$20,600",,,Converted Res,Commercial,1920,,Commercial,0.21
"$100,000","$27,900",,,Converted Res,Commercial,1950,,Commercial,0.36
"$218,000","$13,100",,,3 Family Res,Old style,1950,6 / 3,Vill/Norwood,0.29
"$102,000","$9,900",,,1 Family Res,Old style,1850,3 / 2,Vill/Norwood,0.21
"$96,000","$16,800",,,1 Family Res,Old style,1910,2 / 1.1,Vill/Norwood,0.41
"$495,000","$23,500",,,Religious,Commercial,1880,,Commercial,0.26
"$92,000","$13,100",,,1 Family Res,Old style,1910,5 / 2,Vill/Norwood,0.29
"$129,000","$17,100",,,1 Family Res,Old style,1900,4 / 1.1,Vill/Norwood,0.42
"$58,000","$15,900",,,1 Family Res,Old style,1875,5 / 1.1,Vill/Norwood,0.38
"$155,000","$13,500",,,1 Family Res,Old style,1900,4 / 1.1,Vill/Norwood,0.3
"$100,000","$33,500",,,3 Family Res,Old style,1868,4 / 3,Vill/Norwood,2
"$11,000","$11,000",,,Vacant comm,,,,Commercial,0.07
"$162,000","$11,900",,,1 Family Res,Old style,1890,5 / 1.1,Vill/Norwood,0.26
"$128,000","$17,700",,,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,0.44
"$173,000","$32,000",,,1 Family Res,Old style,1920,4 / 2,Vill/Norwood,1
"$144,000","$17,400",,,1 Family Res,Old style,1860,3 / 1.1,Vill/Norwood,0.43
"$9,700","$9,700",,,Res vac land,,,,Vill/Norwood,0.2
"$156,000","$24,800",,,3 Family Res,Old style,1900,4 / 3,Vill/Norwood,0.71
"$110,000","$12,700",,,1 Family Res,Old style,1900,3 / 1.1,Vill/Norwood,0.28
"$95,000","$26,800",,,1 Family Res,Old style,1900,4 / 2,Vill/Norwood,0.93
"$7,600","$7,600",,,Res vac land,,,,Vill/Norwood,43
"$123,000","$22,300",,,1 Family Res,Old style,1900,3 / 2,Vill/Norwood,0.61
"$84,000","$17,400",,,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,0.43
"$116,000","$14,400",,,1 Family Res,Cape cod,1931,2 / 1,Vill/Norwood,0.33
"$325,000","$62,200",,,Converted Res,Commercial,1952,,Commercial,2.22
"$1,400,000","$132,600",,,Spec. school,Commercial,1980,,Commercial,22.29
"$125,000","$54,700",,,Det row bldg,Commercial,1960,,Commercial,1.47
"$22,900","$22,900",,,Vacant comm,,,,Commercial,0.83
"$107,000","$18,000",,,1 Family Res,Old style,1910,4 / 1,Vill/Norwood,0.45
"$130,000","$19,800",,,1 Family Res,Ranch,1966,3 / 1,Vill/Norwood,0.51
"$269,000","$32,300",,,1 Family Res,Old style,1900,5 / 2,Vill/Norwood,1.2
"$200,000","$44,700",,,1 Family Res,Commercial,1957,,Commercial,0.84
"$5,000","$5,000",,,Sewage,,,,Commercial,0.01
"$16,400","$16,400",,,Res vac land,,,,Vill/Norwood,0.64
"$133,000","$32,000",,,1 Family Res,Old style,1930,3 / 1.1,Vill/Norwood,1
"$975,000","$113,400",,,Lumber yd/ml,Commercial,1988,,Commercial,11.72
"$233,000","$32,800",,,1 Family Res,Ranch,2007,3 / 1.1,Vill/Norwood,1.5
"$83,000","$21,300",,,1 Family Res,Old style,1930,3 / 1,Vill/Norwood,0.57
"$128,900","$24,600",,,Field crops,,,,Vill/Norwood,5.1
"$550,000","$51,400",,,Restaurant,Commercial,1970,,Commercial,1.1
"$119,000","$17,400",,,1 Family Res,Old style,1830,3 / 2,Vill/Norwood,0.43
"$124,000","$28,300",,,1 Family Res,Ranch,1956,2 / 1,Vill/Norwood,0.85
"$27,900","$27,800",,,Vac w/imprv,,,,Vill/Norwood,8.3
"$8,000","$8,000",,,Res vac land,,,,Vill/Norwood,2
"$2,400","$2,400",,,Res vac land,,,,Vill/Norwood,0.13
"$4,200","$4,200",,,Res vac land,,,,Vill/Norwood,0.82
"$1,200","$1,200",,,Res vac land,,,,Vill/Norwood,0.31
"$6,000","$6,000",,,Res vac land,,,,Vill/Norwood,0.74
"$1,000,000","$59,400",,,Govt bldgs,Commercial,1970,,Commercial,1.94
"$262,112","$52,800",,,Elec-Substation,,,,Commercial,1.28
"$98,700","$98,700",,,Elec-hydro,,,,Commercial,16.55
"$640,000","$370,000",,,Mfg hsing pk,,,,Commercial,2.84
"$350,000","$67,400",,,Social org.,Commercial,1953,,Commercial,5.08
"$86,500","$86,500",,,Elec-hydro,,,,Commercial,8.62
"$850,000","$55,200",,,Living accom,Commercial,1988,,Commercial,1.52
"$115,000","$10,300",,,1 Family Res,Ranch,1958,3 / 1,Vill/Norwood,0.22
"$136,000","$32,300",,,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,1.2
"$21,500","$21,500",,,Res vac land,,,,Vill/Norwood,2
"$20,000","$20,000",,,Res vac land,,,,Vill/Norwood,1
"$143,000","$27,500",,,1 Family Res,Ranch,1971,3 / 1,Vill/Norwood,0.82
"$13,700","$13,700",,,Res vac land,,,,Vill/Norwood,0.41
"$185,000","$17,400",,,1 Family Res,Split level,1976,4 / 1.1,Vill/Norwood,0.43
"$205,000","$30,000",,,1 Family Res,Ranch,1991,3 / 2,Vill/Norwood,0.92
"$43,200","$19,500",,,Vac w/imprv,,,,Vill/Norwood,0.95
"$253,000","$32,000",,,1 Family Res,Raised ranch,1972,3 / 1,Vill/Norwood,1
"$265,000","$252,000",,,1 Family Res,Raised ranch,1969,3 / 2,Vill/Norwood,1
"$18,900","$18,900",,,Res vac land,,,,Vill/Norwood,0.89
"$20,300","$12,700",,,Mfg housing,,,,Vill/Norwood,0.28
"$117,000","$16,500",,,1 Family Res,Manuf'd Housing,1975,3 / 1,Vill/Norwood,0.4
"$104,000","$8,700",,,1 Family Res,Old style,1900,4 / 2,Vill/Norwood,0.18
"$45,000","$6,300",,,1 Family Res,Old style,1900,1 / 1,Vill/Norwood,0.12
"$121,000","$15,900",,,1 Family Res,Old style,1900,3 / 2,Vill/Norwood,0.38
"$148,000","$11,100",,,1 Family Res,Old style,1900,4 / 1,Vill/Norwood,0.24
"$108,000","$11,100",,,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,0.24
"$15,800","$15,800",,,Vacant comm,,,,Commercial,0.13
"$40,800","$40,800",,,Parking lot,,,,Commercial,0.72
"$53,000","$4,000",,,2 Family Res,Old style,1900,2 / 2,Vill/Norwood,0.07
"$105,000","$15,600",,,2 Family Res,Old style,1900,4 / 2,Vill/Norwood,0.37
"$89,000","$5,900",,,3 Family Res,Old style,1880,5 / 3,Vill/Norwood,0.11
"$9,000","$9,000",,,Vacant comm,,,,Commercial,0.05
"$125,000","$11,000",,,Det row bldg,Commercial,1950,,Commercial,60
"$17,000","$17,000",,,Vacant comm,,,,Commercial,0.15
"$150,000","$19,200",,,1 Family Res,Old style,1930,5 / 2.1,Vill/Norwood,0.49
"$163,000","$20,000",,,1 Family Res,Old style,1900,4 / 2.1,Vill/Norwood,0.52
"$118,000","$15,300",,,1 Family Res,Old style,1900,3 / 2,Vill/Norwood,0.36
"$9,300","$9,300",,,Res vac land,,,,Vill/Norwood,0.19
"$155,000","$32,200",,,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,1.1
"$130,000","$14,400",,,1 Family Res,Old style,1900,5 / 1,Vill/Norwood,0.33
"$148,000","$40,800",,,1 Family Res,Ranch,1958,3 / 1,Vill/Norwood,9.3
"$188,000","$12,700",,,1 Family Res,Colonial,1900,5 / 2,Vill/Norwood,0.28
"$12,700","$12,700",,,Res vac land,,,,Vill/Norwood,0.34
"$240,000","$136,000",,,Other Storage,Commercial,1982,,Commercial,46.63
"$26,400","$26,400",,,Res vac land,,,,Vill/Norwood,23.7
"$146,000","$33,400",,,1 Family Res,Ranch,1951,2 / 1,Vill/Norwood,1.9
"$22,500","$22,500",,,Res vac land,,,,Vill/Norwood,3
"$144,000","$18,900",,,1 Family Res,Old style,1880,4 / 2,Vill/Norwood,0.48
"$180,000","$19,200",,,1 Family Res,Old style,1850,4 / 2,Vill/Norwood,0.49
"$1,900","$1,900",,,Res vac land,,,,Vill/Norwood,1.4
"$390,000","$41,800",,,Library,Commercial,1984,,Commercial,0.75
"$48,300","$33,300",,,Vac w/imprv,,,,Vill/Norwood,0.73
"$116,000","$35,500",,,1 Family Res,Old style,1900,3 / 1.1,Vill/Norwood,0.82
"$89,000","$10,300",,,1 Family Res,Old style,1920,3 / 1,Vill/Norwood,82
"$110,000","$18,900",,,1 Family Res,Old style,1910,3 / 1.1,Vill/Norwood,0.48
"$100,000","$15,000",,,1 Family Res,Old style,1937,4 / 1,Vill/Norwood,0.35
"$101,000","$15,600",,,1 Family Res,Old style,1920,2 / 1,Vill/Norwood,0.37
"$245,000","$22,300",,,1 Family Res,Contemporary,1989,4 / 2.1,Vill/Norwood,0.61
"$170,000","$15,900",,,1 Family Res,Ranch,1982,3 / 2,Vill/Norwood,0.38
"$15,200","$13,400",,,Vac w/imprv,,,,Vill/Norwood,0.39
"$239,000","$16,200",,,1 Family Res,Raised ranch,1980,3 / 1.1,Vill/Norwood,0.39
"$37,856",$0,,,Television,,,,,0
"$85,049",$0,,,Telephone,,,,,0
"$718,278",$0,,,Elec & gas,,,,,0
"$415,093",$0,,,Elec & gas,,,,,0
"$1,926,000",$0,,,Elec-hydro,,,,Commercial,0.01
"$90,082","$1,000",,,Elec Trans Imp,,,,Commercial,0.01
"$79,265","$1,000",,,Elec Trans Imp,,,,Commercial,0.01
"$255,162","$1,000",,,Elec Dist Out,,,,Commercial,0.01
"$36,692","$1,000",,,Gas Outside Pla,,,,Commercial,0.01
$0,$0,,,Telecom. eq.,,,,Commercial,0.01
"$40,000","$40,000",,,Telecom. eq.,,,,Commercial,0.01
"$135,000","$7,900",,,1 Family Res,Old style,1880,5 / 1,Vill/Norwood,79
"$33,500","$33,500",,,Park,,,,Commercial,0.5
"$150,000","$15,200",,,1 use sm bld,Commercial,1980,,Commercial,0.12
"$107,000","$15,900",,,1 Family Res,Old style,1820,3 / 1.1,Vill/Norwood,0.38
"$146,000","$13,800",,,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,0.31
"$121,000","$11,500",,,1 Family Res,Old style,1873,3 / 2,Vill/Norwood,0.25
"$255,000","$25,500",,,Religious,Commercial,1950,,Commercial,0.3
"$226,000","$13,100",,,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,0.29
"$181,000","$14,100",,,2 Family Res,Old style,1900,4 / 2,Vill/Norwood,0.32
"$205,000","$14,400",,,3 Family Res,Duplex,1950,6 / 3,Vill/Norwood,0.33
"$118,000","$16,800",,,1 Family Res,Old style,1855,3 / 2,Vill/Norwood,0.41
"$92,000","$8,700",,,1 Family Res,Old style,1928,3 / 1,Vill/Norwood,57
"$116,000","$6,700",,,1 Family Res,Old style,1930,2 / 1,Vill/Norwood,0.13
"$83,000","$13,800",,,1 Family Res,Old style,1867,2 / 2.1,Vill/Norwood,0.31
"$80,000","$9,100",,,1 Family Res,Old style,1900,2 / 1,Vill/Norwood,0.19
"$905,000","$36,800",,,Religious,Commercial,1908,,Commercial,0.6
"$96,000","$13,800",,,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,0.31
"$100,000","$11,100",,,1 Family Res,Old style,1925,3 / 1.1,Vill/Norwood,0.24
"$89,000","$12,300",,,1 Family Res,Old style,1925,4 / 1,Vill/Norwood,0.27
"$89,000","$14,700",,,1 Family Res,Old style,1867,3 / 1,Vill/Norwood,0.34
"$76,000","$15,300",,,1 Family Res,Old style,1850,2 / 1,Vill/Norwood,0.36
"$119,000","$23,800",,,1 Family Res,Old style,1841,3 / 1.1,Vill/Norwood,0.67
"$90,000","$15,000",,,1 Family Res,Old style,1917,3 / 1,Vill/Norwood,0.35
